"Time (s)","Illuminance (lx)"
0.000000000E0,3.997874832E1
4.948737851E0,6.312499642E-1
1.281045465E1,9.295000076E0
1.404533355E1,7.086249542E1
2.235945123E1,8.687499762E-1
2.335316681E1,1.396250010E0
2.554880963E1,2.264999866E0
2.563612481E1,4.288749695E0
2.571508600E1,6.732500076E0
2.580238604E1,9.346249580E0
2.588134649E1,1.300624943E1
2.596864386E1,1.668124962E1
2.754880157E1,8.911624908E1
2.877467877E1,8.153374481E1
2.894098810E1,7.270124817E1
2.910732769E1,6.272499847E1
2.919464508E1,5.644624710E1
2.927364386E1,5.110499954E1
2.934432086E1,4.406624985E1
2.942330890E1,3.838249969E1
2.951061236E1,3.184749985E1
3.416677423E1,7.687500119E-1
3.828830035E1,8.288749695E0
3.960638800E1,5.400499725E1
4.753872857E1,6.837499738E-1
5.029642218E1,1.189999938E0
5.398944708E1,2.500000000E-1
5.463854474E1,2.927500010E0
5.520827813E1,2.936624908E1
5.803497320E1,2.294874954E1
6.306980230E1,8.774999976E-1
6.899619561E1,1.799999923E-1
7.283436187E1,6.767499924E0
7.383652472E1,5.769124985E1
7.508401983E1,5.233625031E1
7.525035602E1,4.565874863E1
7.532935821E1,4.222374725E1
7.547907965E1,3.660250092E1
7.571562066E1,3.018124962E1
7.579462408E1,2.657874870E1
7.588196808E1,2.261249924E1
7.596098736E1,1.877000046E1
8.120493536E1,8.075000048E-1
8.153760675E1,1.858749986E0
8.161660821E1,4.117499828E0
8.168731256E1,7.071249962E0
8.176633258E1,1.087374973E1
8.185364727E1,1.483124924E1
8.356284869E1,8.797000122E1
8.647756280E1,7.885124969E1
8.662726226E1,6.846499634E1
8.679361773E1,5.908250046E1
8.687262555E1,5.457999802E1
9.013267340E1,6.937499642E-1
9.301504181E1,1.279999971E0
9.534004425E1,1.244124985E1
9.712402301E1,5.604124832E1
9.793915142E1,5.144749832E1
9.816786944E1,4.668000031E1
9.833421441E1,4.181374741E1
9.848392315E1,3.623249817E1
9.855463360E1,3.326124954E1
9.863364630E1,3.002499962E1
9.872098516E1,2.613624954E1
9.879998980E1,2.258499908E1
1.029963423E2,4.137499928E-1
1.036450381E2,2.298749924E0
1.037240374E2,4.787499905E0
1.037947437E2,7.407499790E0
1.038737383E2,1.002499962E1
1.039444437E2,1.313999939E1
1.040234571E2,1.629624939E1
1.060364705E2,6.127124786E1
1.063692115E2,5.626124954E1
1.065355745E2,5.039125061E1
1.066853077E2,4.312125015E1
1.067726446E2,3.949874878E1
1.068516741E2,3.501374817E1
1.069390005E2,3.103874969E1
1.070180364E2,2.636249924E1
1.070887515E2,2.223499870E1
1.071677781E2,1.782749939E1
1.122459232E2,4.412499964E-1
1.156357159E2,7.198750019E0
1.168209139E2,5.592499924E1
1.188664124E2,4.978249741E1
1.190161060E2,4.279249954E1
1.191657984E2,3.713124847E1
1.192447855E2,3.383749771E1
1.193155064E2,3.038624954E1
1.193945250E2,2.629874992E1
1.237694246E2,2.725000083E-1
1.320040159E2,0.000000000E0
1.330894537E2,6.416249752E0
1.341706641E2,4.996249771E1
1.370936461E2,4.509624863E1
1.372433685E2,4.166249847E1
1.374097105E2,3.610250092E1
1.374804002E2,3.250249863E1
1.375594092E2,2.889624977E1
1.413401395E2,3.937499821E-1
1.510850777E2,9.412499428E0
1.521830115E2,7.491500092E1
1.547940911E2,6.662874603E1
1.548648060E2,6.120374680E1
1.549438543E2,5.522999954E1
1.550312144E2,5.060499954E1
1.551102256E2,4.627249908E1
1.551809595E2,4.237500000E1
1.625474244E2,3.763874817E1
1.626181356E2,3.436999893E1
1.632291426E2,8.043749809E0
1.694521424E2,5.287500024E-1
1.714159271E2,4.461249828E0
1.721979346E2,3.956749725E1
1.759460643E2,8.737749481E1
1.760958060E2,7.936999512E1
1.762455770E2,7.017749786E1
1.763246133E2,6.407250214E1
1.764743753E2,5.307249832E1
1.765451072E2,4.893999863E1
