"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
7.588335530E-1,3.518517490E1,1.371156413E2,1.830144068E2,NaN,NaN,1.203299999E1,1.510172009E0
2.080083355E1,3.518517180E1,1.371156343E2,1.830144262E2,NaN,NaN,1.193200016E1,1.622981071E0
4.080083355E1,3.518516890E1,1.371156311E2,1.805144361E2,NaN,NaN,1.232800007E1,1.493101120E0
6.077783355E1,3.518516980E1,1.371156300E2,1.805144382E2,NaN,NaN,1.180000019E1,1.362558842E0
8.081983355E1,3.518517200E1,1.371156398E2,1.830144124E2,NaN,NaN,1.243599987E1,1.350626588E0
1.029028336E2,3.518517180E1,1.371156325E2,1.805144307E2,NaN,NaN,1.227299976E1,1.116476893E0
1.208198336E2,3.518516780E1,1.371156293E2,1.802144382E2,NaN,NaN,1.559300041E1,1.048435450E0
1.408608336E2,3.518516720E1,1.371156206E2,1.805144634E2,NaN,NaN,1.600300026E1,1.912990808E0
1.628998336E2,3.518515790E1,1.371156297E2,1.804144406E2,NaN,NaN,1.152999973E1,1.716912389E0
