time,x,y,z
0.0,0.0,0.0,-0.0
33.68188651,0.6493826207,-0.0016014709,-0.0
33.68188651,1.6829177735,-0.0394449362,-0.0
33.68188651,2.7033983354,0.0182095026,-0.0
33.68188651,3.7800927572,-0.03403491,-0.0
33.68188651,4.7266518188,-0.0056672126,-0.0
33.68188651,5.624732409,-0.0853670192,-0.0
33.68188651,6.607460063,-0.0194299356,-0.0
33.68188651,7.5862359561,-0.0232344041,-0.0
33.68188651,8.4475392061,0.0560321109,-0.0
33.68188651,9.4718326488,0.0108757691,-0.0
33.68188651,10.3449975047,0.0169203795,0.0488472000006368
33.68188651,11.2719465631,-0.0575019899,0.029777524999872185
33.68188651,12.0578234181,-0.0441031607,0.15056228099979307
33.68188651,12.8920478988,-0.2893920622,0.25265503100058595
33.68188651,13.2850908814,-0.9058088927,0.4076347559998794
33.68188651,13.3549638211,-1.7701471875,0.5627060059998712
33.68188651,13.0764839301,-2.4680779995,0.668556230999684
33.68188651,12.4370523117,-2.9288916843,0.8138504190003459
33.68188651,11.696202294,-3.164393749,0.9862938310004665
33.68188651,10.7410782678,-3.2928174618,1.1879158370004461
33.68188651,9.9177580067,-3.3715241536,1.304927856000404
33.68188651,8.9933839512,-3.3184376913,1.4440956430007645
33.68188651,8.0434223428,-3.4009960027,1.5722847310007637
33.68188651,7.2740790677,-3.3520660803,1.6466637060000267
33.68188651,6.3614176166,-3.414471857,1.7539787689997866
33.68188651,5.4182809949,-3.3644681448,1.8423462430007476
33.68188651,4.5619135028,-3.4581983088,1.9397469119996913
33.68188651,3.6200504156,-3.4175416863,2.0186005120001482
33.68188651,2.6527703732,-3.5615728198,2.073997556000222
33.68188651,1.7161428174,-3.4495623452,2.214050337000799
33.68188651,0.8800274097,-3.4140344598,2.3191452560001835
33.68188651,0.1938549349,-2.9912246481,2.452034031000494
33.68188651,-0.0453008985,-2.2246026079,2.531444587000351
33.68188651,0.0692607671,-1.3623719251,2.639785812000355
33.68188651,0.5715435621,-0.7467215464,2.768451731000141
33.68188651,1.3507323118,-0.41624043,2.8315086869997685
33.68188651,3.2693900927,-0.2125217552,2.9683647750005093
33.68188651,4.6772724365,-0.2555752665,3.041133931000104
33.68188651,6.3496840049,-0.2972983636,3.1255722560001686
33.68188651,7.8871517228,-0.2343176979,3.1942940310000267
33.68188651,9.5809467736,-0.1392317583,3.2973824060002244
33.68188651,11.2262960026,-0.1834713762,3.4052849310000965
33.68188651,12.0239519499,-0.3428189399,3.487743419000253
33.68188651,13.0073710129,-0.9643837022,3.5610008690002815
33.68188651,13.3497833838,-1.8150659165,3.709949525000411
33.68188651,12.9556217331,-2.7140495059,3.794521375000386
33.68188651,12.2957828797,-3.0846815598,3.8773651560006783
33.68188651,10.4603446671,-3.4153965904,3.9140549190005913
33.68188651,9.048071407,-3.4825371517,3.95606238100072
33.68188651,7.5133148484,-3.5538538049,3.901229924999825
33.68188651,6.1407901023,-3.6297738337,4.0227127750006275
33.68188651,4.7814539658,-3.8691940492,4.087665618000074
33.68188651,3.3864627198,-4.0255618473,4.186145836999913
33.68188651,2.6395405391,-4.0125188194,4.281356869000774
33.68188651,2.0088594484,-4.037984303,4.438758912000367
33.68188651,1.134244281,-4.0286187737,4.634540611999682
33.68188651,0.3290269323,-4.0220999158,4.835571355999946
33.68188651,-0.3334527109,-4.0009928802,5.028415737000387
33.68188651,-0.9485930635,-4.0031434574,5.168476155999997
